Year,Division,School,Level,Subgroup,Test Level,Subject Area,Subject,Percent Pass
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Hispanic,4,MATH,Grade 4 Mathematics,74
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Homeless,4,MATH,Grade 4 Mathematics,55
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Male,4,MATH,Grade 4 Mathematics,81
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Not Economically Disadvantaged,4,MATH,Grade 4 Mathematics,92
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Students with Disabilities,4,MATH,Grade 4 Mathematics,<
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Students without Disabilities,4,MATH,Grade 4 Mathematics,80
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,White,4,MATH,Grade 4 Mathematics,<
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,All Students,5,MATH,Grade 5 Mathematics,74
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Asian,5,MATH,Grade 5 Mathematics,<
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Black,5,MATH,Grade 5 Mathematics,<
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Economically Disadvantaged,5,MATH,Grade 5 Mathematics,73
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,English Learners,5,MATH,Grade 5 Mathematics,37
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Female,5,MATH,Grade 5 Mathematics,71
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Hispanic,5,MATH,Grade 5 Mathematics,72
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Homeless,5,MATH,Grade 5 Mathematics,50
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Male,5,MATH,Grade 5 Mathematics,78
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Not Economically Disadvantaged,5,MATH,Grade 5 Mathematics,79
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Students with Disabilities,5,MATH,Grade 5 Mathematics,<
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Students without Disabilities,5,MATH,Grade 5 Mathematics,77
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,White,5,MATH,Grade 5 Mathematics,<
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,All Students,,MATH,Mathematics,75
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,American Indian,,MATH,Mathematics,<
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Asian,,MATH,Mathematics,90
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Black,,MATH,Mathematics,80
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,Economically Disadvantaged,,MATH,Mathematics,73
2018 - 2019,Loudoun County Public Schools,Guilford Elementary,SCH,English Learners,,MATH,Mathematics,65
