Year,Division,School,Level,Subgroup,Test Level,Subject Area,Subject,Percent Pass
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Asian,4,ENGR,Grade 4 English Reading,56
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Black,4,ENGR,Grade 4 English Reading,<
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Economically Disadvantaged,4,ENGR,Grade 4 English Reading,49
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,English Learners,4,ENGR,Grade 4 English Reading,32
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Female,4,ENGR,Grade 4 English Reading,52
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Hispanic,4,ENGR,Grade 4 English Reading,47
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Homeless,4,ENGR,Grade 4 English Reading,<
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Male,4,ENGR,Grade 4 English Reading,58
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Military Connected,4,ENGR,Grade 4 English Reading,100
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Not Economically Disadvantaged,4,ENGR,Grade 4 English Reading,67
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Students with Disabilities,4,ENGR,Grade 4 English Reading,64
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Students without Disabilities,4,ENGR,Grade 4 English Reading,54
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,White,4,ENGR,Grade 4 English Reading,75
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,All Students,5,ENGR,Grade 5 English Reading,57
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Asian,5,ENGR,Grade 5 English Reading,70
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Black,5,ENGR,Grade 5 English Reading,100
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Economically Disadvantaged,5,ENGR,Grade 5 English Reading,45
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,English Learners,5,ENGR,Grade 5 English Reading,13
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Female,5,ENGR,Grade 5 English Reading,61
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Hispanic,5,ENGR,Grade 5 English Reading,39
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Homeless,5,ENGR,Grade 5 English Reading,<
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Male,5,ENGR,Grade 5 English Reading,54
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Military Connected,5,ENGR,Grade 5 English Reading,100
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Multiple Races,5,ENGR,Grade 5 English Reading,100
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Not Economically Disadvantaged,5,ENGR,Grade 5 English Reading,81
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Students with Disabilities,5,ENGR,Grade 5 English Reading,<
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Students without Disabilities,5,ENGR,Grade 5 English Reading,60
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,White,5,ENGR,Grade 5 English Reading,69
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,All Students,3,MATH,Grade 3 Mathematics,37
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Asian,3,MATH,Grade 3 Mathematics,35
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Black,3,MATH,Grade 3 Mathematics,<
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Economically Disadvantaged,3,MATH,Grade 3 Mathematics,28
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,English Learners,3,MATH,Grade 3 Mathematics,16
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Female,3,MATH,Grade 3 Mathematics,36
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Hispanic,3,MATH,Grade 3 Mathematics,28
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Homeless,3,MATH,Grade 3 Mathematics,<
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Male,3,MATH,Grade 3 Mathematics,38
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Military Connected,3,MATH,Grade 3 Mathematics,<
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Multiple Races,3,MATH,Grade 3 Mathematics,<
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Not Economically Disadvantaged,3,MATH,Grade 3 Mathematics,51
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Students with Disabilities,3,MATH,Grade 3 Mathematics,7
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Students without Disabilities,3,MATH,Grade 3 Mathematics,43
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,White,3,MATH,Grade 3 Mathematics,57
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,All Students,4,MATH,Grade 4 Mathematics,30
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Asian,4,MATH,Grade 4 Mathematics,53
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Black,4,MATH,Grade 4 Mathematics,<
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Economically Disadvantaged,4,MATH,Grade 4 Mathematics,27
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,English Learners,4,MATH,Grade 4 Mathematics,12
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Female,4,MATH,Grade 4 Mathematics,16
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Hispanic,4,MATH,Grade 4 Mathematics,15
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Homeless,4,MATH,Grade 4 Mathematics,<
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Male,4,MATH,Grade 4 Mathematics,44
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Military Connected,4,MATH,Grade 4 Mathematics,100
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Not Economically Disadvantaged,4,MATH,Grade 4 Mathematics,34
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Students with Disabilities,4,MATH,Grade 4 Mathematics,18
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Students without Disabilities,4,MATH,Grade 4 Mathematics,32
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,White,4,MATH,Grade 4 Mathematics,50
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,All Students,5,MATH,Grade 5 Mathematics,42
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Asian,5,MATH,Grade 5 Mathematics,67
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Black,5,MATH,Grade 5 Mathematics,<
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Economically Disadvantaged,5,MATH,Grade 5 Mathematics,29
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,English Learners,5,MATH,Grade 5 Mathematics,11
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Female,5,MATH,Grade 5 Mathematics,41
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Hispanic,5,MATH,Grade 5 Mathematics,16
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Homeless,5,MATH,Grade 5 Mathematics,<
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Male,5,MATH,Grade 5 Mathematics,43
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Military Connected,5,MATH,Grade 5 Mathematics,100
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Multiple Races,5,MATH,Grade 5 Mathematics,<
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Not Economically Disadvantaged,5,MATH,Grade 5 Mathematics,70
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Students with Disabilities,5,MATH,Grade 5 Mathematics,<
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Students without Disabilities,5,MATH,Grade 5 Mathematics,43
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,White,5,MATH,Grade 5 Mathematics,63
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,All Students,,MATH,Mathematics,36
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Asian,,MATH,Mathematics,53
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Black,,MATH,Mathematics,42
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Economically Disadvantaged,,MATH,Mathematics,28
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,English Learners,,MATH,Mathematics,13
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Female,,MATH,Mathematics,30
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Hispanic,,MATH,Mathematics,20
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Homeless,,MATH,Mathematics,9
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Male,,MATH,Mathematics,42
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Military Connected,,MATH,Mathematics,<
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Multiple Races,,MATH,Mathematics,<
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Not Economically Disadvantaged,,MATH,Mathematics,52
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Students with Disabilities,,MATH,Mathematics,13
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,Students without Disabilities,,MATH,Mathematics,39
2020 - 2021,Loudoun County Public Schools,Forest Grove Elementary,SCH,White,,MATH,Mathematics,57
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,All Students,,ENGR,English Reading,38
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,American Indian,,ENGR,English Reading,<
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Asian,,ENGR,English Reading,50
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Black,,ENGR,English Reading,80
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Economically Disadvantaged,,ENGR,English Reading,34
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,English Learners,,ENGR,English Reading,17
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Female,,ENGR,English Reading,39
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Hispanic,,ENGR,English Reading,32
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Homeless,,ENGR,English Reading,24
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Male,,ENGR,English Reading,36
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Military Connected,,ENGR,English Reading,100
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Multiple Races,,ENGR,English Reading,100
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Not Economically Disadvantaged,,ENGR,English Reading,63
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Students with Disabilities,,ENGR,English Reading,39
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Students without Disabilities,,ENGR,English Reading,38
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,White,,ENGR,English Reading,64
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,All Students,3,ENGR,Grade 3 English Reading,31
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,American Indian,3,ENGR,Grade 3 English Reading,<
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Asian,3,ENGR,Grade 3 English Reading,<
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Black,3,ENGR,Grade 3 English Reading,<
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Economically Disadvantaged,3,ENGR,Grade 3 English Reading,24
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,English Learners,3,ENGR,Grade 3 English Reading,13
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Female,3,ENGR,Grade 3 English Reading,32
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Hispanic,3,ENGR,Grade 3 English Reading,22
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Homeless,3,ENGR,Grade 3 English Reading,12
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Male,3,ENGR,Grade 3 English Reading,30
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Military Connected,3,ENGR,Grade 3 English Reading,100
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Multiple Races,3,ENGR,Grade 3 English Reading,100
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Not Economically Disadvantaged,3,ENGR,Grade 3 English Reading,73
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Students with Disabilities,3,ENGR,Grade 3 English Reading,17
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Students without Disabilities,3,ENGR,Grade 3 English Reading,33
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,White,3,ENGR,Grade 3 English Reading,100
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,All Students,4,ENGR,Grade 4 English Reading,41
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Asian,4,ENGR,Grade 4 English Reading,<
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Black,4,ENGR,Grade 4 English Reading,100
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Economically Disadvantaged,4,ENGR,Grade 4 English Reading,38
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,English Learners,4,ENGR,Grade 4 English Reading,21
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Female,4,ENGR,Grade 4 English Reading,43
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Hispanic,4,ENGR,Grade 4 English Reading,37
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Homeless,4,ENGR,Grade 4 English Reading,25
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Male,4,ENGR,Grade 4 English Reading,39
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Not Economically Disadvantaged,4,ENGR,Grade 4 English Reading,60
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Students with Disabilities,4,ENGR,Grade 4 English Reading,50
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Students without Disabilities,4,ENGR,Grade 4 English Reading,39
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,White,4,ENGR,Grade 4 English Reading,<
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,All Students,5,ENGR,Grade 5 English Reading,43
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,American Indian,5,ENGR,Grade 5 English Reading,100
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Asian,5,ENGR,Grade 5 English Reading,<
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Black,5,ENGR,Grade 5 English Reading,<
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Economically Disadvantaged,5,ENGR,Grade 5 English Reading,42
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,English Learners,5,ENGR,Grade 5 English Reading,15
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Female,5,ENGR,Grade 5 English Reading,44
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Hispanic,5,ENGR,Grade 5 English Reading,40
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Homeless,5,ENGR,Grade 5 English Reading,38
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Male,5,ENGR,Grade 5 English Reading,42
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Military Connected,5,ENGR,Grade 5 English Reading,100
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Not Economically Disadvantaged,5,ENGR,Grade 5 English Reading,<
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Students with Disabilities,5,ENGR,Grade 5 English Reading,<
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Students without Disabilities,5,ENGR,Grade 5 English Reading,41
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,White,5,ENGR,Grade 5 English Reading,<
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,All Students,3,MATH,Grade 3 Mathematics,24
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,American Indian,3,MATH,Grade 3 Mathematics,<
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Asian,3,MATH,Grade 3 Mathematics,<
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Black,3,MATH,Grade 3 Mathematics,<
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Economically Disadvantaged,3,MATH,Grade 3 Mathematics,19
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,English Learners,3,MATH,Grade 3 Mathematics,12
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Female,3,MATH,Grade 3 Mathematics,22
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Hispanic,3,MATH,Grade 3 Mathematics,16
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Homeless,3,MATH,Grade 3 Mathematics,6
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Male,3,MATH,Grade 3 Mathematics,25
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Military Connected,3,MATH,Grade 3 Mathematics,100
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Multiple Races,3,MATH,Grade 3 Mathematics,100
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Not Economically Disadvantaged,3,MATH,Grade 3 Mathematics,55
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Students with Disabilities,3,MATH,Grade 3 Mathematics,17
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Students without Disabilities,3,MATH,Grade 3 Mathematics,25
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,White,3,MATH,Grade 3 Mathematics,100
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,All Students,4,MATH,Grade 4 Mathematics,31
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Asian,4,MATH,Grade 4 Mathematics,<
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Black,4,MATH,Grade 4 Mathematics,<
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Economically Disadvantaged,4,MATH,Grade 4 Mathematics,29
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,English Learners,4,MATH,Grade 4 Mathematics,17
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Female,4,MATH,Grade 4 Mathematics,26
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Hispanic,4,MATH,Grade 4 Mathematics,29
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Homeless,4,MATH,Grade 4 Mathematics,19
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Male,4,MATH,Grade 4 Mathematics,36
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Not Economically Disadvantaged,4,MATH,Grade 4 Mathematics,45
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Students with Disabilities,4,MATH,Grade 4 Mathematics,30
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Students without Disabilities,4,MATH,Grade 4 Mathematics,31
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,White,4,MATH,Grade 4 Mathematics,<
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,All Students,5,MATH,Grade 5 Mathematics,29
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,American Indian,5,MATH,Grade 5 Mathematics,<
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Asian,5,MATH,Grade 5 Mathematics,<
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Black,5,MATH,Grade 5 Mathematics,<
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Economically Disadvantaged,5,MATH,Grade 5 Mathematics,25
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,English Learners,5,MATH,Grade 5 Mathematics,8
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Female,5,MATH,Grade 5 Mathematics,19
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Hispanic,5,MATH,Grade 5 Mathematics,26
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Homeless,5,MATH,Grade 5 Mathematics,19
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Male,5,MATH,Grade 5 Mathematics,39
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Military Connected,5,MATH,Grade 5 Mathematics,100
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Not Economically Disadvantaged,5,MATH,Grade 5 Mathematics,<
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Students with Disabilities,5,MATH,Grade 5 Mathematics,<
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Students without Disabilities,5,MATH,Grade 5 Mathematics,28
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,White,5,MATH,Grade 5 Mathematics,<
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,All Students,,MATH,Mathematics,28
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,American Indian,,MATH,Mathematics,<
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Asian,,MATH,Mathematics,30
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Black,,MATH,Mathematics,60
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Economically Disadvantaged,,MATH,Mathematics,24
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,English Learners,,MATH,Mathematics,13
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Female,,MATH,Mathematics,23
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Hispanic,,MATH,Mathematics,24
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Homeless,,MATH,Mathematics,14
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Male,,MATH,Mathematics,33
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Military Connected,,MATH,Mathematics,100
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Multiple Races,,MATH,Mathematics,100
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Not Economically Disadvantaged,,MATH,Mathematics,52
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Students with Disabilities,,MATH,Mathematics,27
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,Students without Disabilities,,MATH,Mathematics,28
2020 - 2021,Loudoun County Public Schools,Guilford Elementary,SCH,White,,MATH,Mathematics,64
2020 - 2021,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,All Students,,ENGR,English Reading,54
2020 - 2021,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,American Indian,,ENGR,English Reading,<
2020 - 2021,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Asian,,ENGR,English Reading,77
2020 - 2021,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Black,,ENGR,English Reading,71
2020 - 2021,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Economically Disadvantaged,,ENGR,English Reading,48
2020 - 2021,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,English Learners,,ENGR,English Reading,30
2020 - 2021,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Female,,ENGR,English Reading,59
2020 - 2021,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Hispanic,,ENGR,English Reading,42
2020 - 2021,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Homeless,,ENGR,English Reading,15
2020 - 2021,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Male,,ENGR,English Reading,49
2020 - 2021,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Military Connected,,ENGR,English Reading,<
2020 - 2021,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Multiple Races,,ENGR,English Reading,<
2020 - 2021,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Not Economically Disadvantaged,,ENGR,English Reading,68
2020 - 2021,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Students with Disabilities,,ENGR,English Reading,30
2020 - 2021,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Students without Disabilities,,ENGR,English Reading,58
2020 - 2021,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,White,,ENGR,English Reading,66
2020 - 2021,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,All Students,3,ENGR,Grade 3 English Reading,39
2020 - 2021,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Asian,3,ENGR,Grade 3 English Reading,60
2020 - 2021,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Black,3,ENGR,Grade 3 English Reading,50
2020 - 2021,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Economically Disadvantaged,3,ENGR,Grade 3 English Reading,29
2020 - 2021,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,English Learners,3,ENGR,Grade 3 English Reading,25
2020 - 2021,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Female,3,ENGR,Grade 3 English Reading,50
2020 - 2021,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Hispanic,3,ENGR,Grade 3 English Reading,20
2020 - 2021,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Homeless,3,ENGR,Grade 3 English Reading,<
2020 - 2021,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Male,3,ENGR,Grade 3 English Reading,27
2020 - 2021,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Military Connected,3,ENGR,Grade 3 English Reading,<
2020 - 2021,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Multiple Races,3,ENGR,Grade 3 English Reading,<
2020 - 2021,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Not Economically Disadvantaged,3,ENGR,Grade 3 English Reading,58
2020 - 2021,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Students with Disabilities,3,ENGR,Grade 3 English Reading,<
2020 - 2021,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,Students without Disabilities,3,ENGR,Grade 3 English Reading,41
2020 - 2021,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,White,3,ENGR,Grade 3 English Reading,67
2020 - 2021,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,All Students,4,ENGR,Grade 4 English Reading,60
